"Data","Dependencia Origem","Histórico","Data do Balancete","Número do documento","Valor",
"28/05/2026","","Saldo Anterior","","0","-328.21",
"01/06/2026","","Recebimento de Proventos - 00.394.429/0082-76 COMANDO DA AERONAUT","","81058","7680.09",
"01/06/2026","","Pagto Mensalidade Seguro - BB SEGUROS","","12695","-10.75",
"01/06/2026","","Cobrança de Juros - Juros Saldo Devedor Conta","","511058916","-9.04",
"01/06/2026","","Cobrança de I.O.F. - IOF Saldo Devedor Conta","","391100701","-1.64",
"01/06/2026","","BB Rende Fácil - Rende Facil","","9903","-7330.45",
"02/06/2026","","Pagto Mensalidade Clube - ADC-CTA REC","","34329","-76.10",
"02/06/2026","","BB Rende Fácil - Rende Facil","","9903","76.10",
"03/06/2026","","Pix - Recebido - 03/06 13:17 00027827286879 MARIA FRANC","","31317541743922","1500.00",
"03/06/2026","","Pagamento Pix Cartão Créd - 03/06 15:34 MASTER DA WEB","","101541100180051","134.60",
"03/06/2026","","Pix - Enviado - 03/06 15:34 MASTER DA WEB","","60301","-134.60",
"03/06/2026","","BB Rende Fácil","","9903","-1500.00",
"05/06/2026","","S A L D O","","0","0.00",
